tick,time_s_phys,p_front_Torr,p_wake_Torr,p_free_Torr,p_gap_Torr,cup_scale_frac,cup_emit_real_per_s
1,60,0,0,0,0,1,0
2,120,3.59366961335774e-08,2.85767762868948e-10,1.53835417366645e-10,3.30394897750287e-09,1.03339631687256,7.82e+18
3,180,3.67710577158976e-08,2.89466372639988e-10,1.82723306421249e-10,3.28926348116124e-09,1.06664347768689,7.7872e+18
4,240,3.68086646808025e-08,2.81918740461959e-10,1.66205118568676e-10,3.32380786376503e-09,1.09959299255192,7.7868e+18
5,300,3.70756749830108e-08,2.81361413387604e-10,1.66564544270235e-10,3.30104074096594e-09,1.13209770093564,7.7904e+18
6,360,3.6919780363978e-08,2.8846764190029e-10,1.67201538233981e-10,3.28872294513009e-09,1.16401242891978,7.786e+18
7,420,3.72134216824205e-08,2.93499817151304e-10,1.76998157643022e-10,3.30359498302763e-09,1.19519463758175,7.8688e+18
8,480,3.68762488430315e-08,2.83920546589579e-10,1.68157529393826e-10,3.30116112345445e-09,1.22550505960805,7.89e+18
9,540,3.70752470760426e-08,2.86509030865624e-10,1.71927717564673e-10,3.31123720521715e-09,1.25480832129596,7.7412e+18
10,600,3.70809977458924e-08,2.92594581346419e-10,1.77737377782412e-10,3.33480888671876e-09,1.2829735471653,7.8708e+18
11,660,3.73780586049608e-08,2.83767503906616e-10,1.70205252117317e-10,3.27755818138836e-09,1.30987494448012,7.7844e+18
12,720,3.71995317300355e-08,3.03214554628372e-10,1.81345144554042e-10,3.28466042424444e-09,1.33539236506961,7.7548e+18
13,780,3.73107421111161e-08,3.04146876788858e-10,1.60638364194655e-10,3.30656784536335e-09,1.35941184193896,7.842e+18
14,840,3.7059594422045e-08,2.94221421752484e-10,1.62329251784728e-10,3.31276756384484e-09,1.38182609827367,7.8672e+18
15,900,3.72515055482801e-08,2.91823200238125e-10,1.6877254420724e-10,3.29061933148312e-09,1.40253502656378,7.79e+18
16,960,3.71786007673527e-08,2.89631071082585e-10,1.64635799924052e-10,3.31819298217993e-09,1.4214461357084,7.8008e+18
17,1020,3.72708436497038e-08,2.81379995561522e-10,1.5964985998687e-10,3.28637912347601e-09,1.43847496410334,7.7936e+18
18,1080,3.68843301244197e-08,2.87687251991592e-10,1.75527204137322e-10,3.34604899606648e-09,1.45354545686717,7.7992e+18
19,1140,3.70946846727332e-08,2.93627271136969e-10,1.66875807280487e-10,3.33442948297241e-09,1.4665903055208,7.7368e+18
20,1200,3.73810394362682e-08,2.84136647267503e-10,1.72904267660692e-10,3.31446810261806e-09,1.47755124860346,7.8044e+18
21,1260,3.71479210803121e-08,2.99620940420367e-10,1.62903397538656e-10,3.30306667832218e-09,1.48637933188252,7.8092e+18
22,1320,3.70254554979006e-08,2.91827703415107e-10,1.68636093628079e-10,3.29972143581703e-09,1.49303512699501,7.8032e+18
23,1380,3.65897918473353e-08,2.87407222238835e-10,1.71477423401882e-10,3.29973231562933e-09,1.49748890754425,7.8456e+18
24,1440,3.69829544423912e-08,2.93527679820057e-10,1.65923166957262e-10,3.3362019396548e-09,1.49972078186513,7.7e+18
25,1500,3.67804276063654e-08,2.82294634418152e-10,1.7922920782625e-10,3.28987977600596e-09,1.49972078186513,7.8276e+18
26,1560,3.71051079477679e-08,3.04927678365906e-10,1.73353268031952e-10,3.36088813646727e-09,1.49748890754425,7.9168e+18
27,1620,3.67624559006701e-08,2.89814332397125e-10,1.67994968659947e-10,3.28004732599925e-09,1.49303512699501,7.8048e+18
28,1680,3.73285243021193e-08,2.84295030494029e-10,1.67489079970447e-10,3.30121934674627e-09,1.48637933188252,7.8756e+18
29,1740,3.72727226384988e-08,2.89125547775132e-10,1.72468826156949e-10,3.28472560845541e-09,1.47755124860346,7.8152e+18
30,1800,3.74782963592301e-08,2.79089954510127e-10,1.77768116407965e-10,3.31983096422458e-09,1.4665903055208,7.772e+18
31,1860,3.68555069858702e-08,2.92104884961278e-10,1.70869738474188e-10,3.29948688900821e-09,1.45354545686717,7.854e+18
32,1920,3.7249507973442e-08,2.81499624799673e-10,1.6912701706187e-10,3.27670667558902e-09,1.43847496410334,7.796e+18
33,1980,3.6482217471111e-08,2.95596627365096e-10,1.64890620868829e-10,3.32266896118715e-09,1.4214461357084,7.8468e+18
34,2040,3.70910687187259e-08,2.9064066623147e-10,1.64177299904094e-10,3.30605582715316e-09,1.40253502656378,7.8288e+18
35,2100,3.73344288622239e-08,2.89088795956804e-10,1.66249046360073e-10,3.28390394395532e-09,1.38182609827367,7.7124e+18
36,2160,3.68433531473728e-08,2.84582150490582e-10,1.73850057041849e-10,3.30569892497812e-09,1.35941184193897,7.7876e+18
37,2220,3.71568260811742e-08,2.8923773235295e-10,1.76086456596536e-10,3.28818490950131e-09,1.33539236506961,7.838e+18
38,2280,3.67313677248677e-08,2.82272461525508e-10,1.75067875821654e-10,3.28436232126481e-09,1.30987494448012,7.7212e+18
39,2340,3.71491305295284e-08,3.05001254899166e-10,1.58728796860683e-10,3.28767778343143e-09,1.2829735471653,7.8076e+18
40,2400,3.7186400008847e-08,3.01158198395961e-10,1.64233261682083e-10,3.32697229259525e-09,1.25480832129596,7.8356e+18
41,2460,3.68131092029481e-08,2.98590508698955e-10,1.78656735233668e-10,3.29027328239523e-09,1.22550505960805,7.764e+18
42,2520,3.72096525068834e-08,2.96558250723835e-10,1.67438047752566e-10,3.28600147588676e-09,1.19519463758175,7.7644e+18
43,2580,3.67236403709898e-08,2.95571480897352e-10,1.74407370760775e-10,3.31114603275974e-09,1.16401242891979,7.8412e+18
44,2640,3.70253529403593e-08,2.89274182114887e-10,1.70817543140662e-10,3.2996406539087e-09,1.13209770093565,7.7704e+18
45,2700,3.76084392202701e-08,2.96652206551338e-10,1.64090747964744e-10,3.33426865134484e-09,1.09959299255192,7.8248e+18
46,2760,3.73177105055609e-08,2.98303082502772e-10,1.73968719496324e-10,3.34162766122067e-09,1.06664347768689,7.8268e+18
47,2820,3.69545362848227e-08,3.0293051106456e-10,1.6698555723466e-10,3.29199536228539e-09,1.03339631687256,7.7228e+18
48,2880,3.72535217427607e-08,2.97771493929206e-10,1.63914104660512e-10,3.30171793142388e-09,1,7.7732e+18
49,2940,3.72028261226188e-08,2.86363093745317e-10,1.67456898749314e-10,3.33280000211844e-09,0.96660368312744,7.8112e+18
50,3000,3.69824925580242e-08,2.92915716983338e-10,1.74708216632447e-10,3.33043199784663e-09,0.933356522313112,7.7756e+18
51,3060,3.70156128050776e-08,2.87642587759551e-10,1.687573434867e-10,3.29635695295077e-09,0.900407007448082,7.8024e+18
52,3120,3.63461105894111e-08,2.97131477403741e-10,1.6080912924834e-10,3.30051298948273e-09,0.867902299064357,7.854e+18
53,3180,3.70473452119935e-08,3.07486128685025e-10,1.73470852671684e-10,3.28780322996842e-09,0.835987571080215,7.7596e+18
54,3240,3.71690989040708e-08,2.87615625553943e-10,1.62888082797191e-10,3.29132618843687e-09,0.804805362418252,7.8704e+18
55,3300,3.69204618958244e-08,2.8315469605649e-10,1.69399545294948e-10,3.33486823914549e-09,0.774494940391953,7.8568e+18
56,3360,3.71396215299049e-08,2.82705530972589e-10,1.69169589031361e-10,3.28032408526897e-09,0.745191678704044,7.7652e+18
57,3420,3.70767523917534e-08,2.9591050955607e-10,1.79088491928288e-10,3.29377447020686e-09,0.717026452834705,7.8584e+18
58,3480,3.68044649138916e-08,2.84759501902955e-10,1.82028834779609e-10,3.33227873257645e-09,0.69012505551988,7.7448e+18
59,3540,3.7318016064812e-08,2.75350218152639e-10,1.57173964652747e-10,3.31872103393702e-09,0.66460763493039,7.8364e+18
60,3600,3.68810799495231e-08,2.96584674118563e-10,1.7855862754003e-10,3.30130511070849e-09,0.640588158061037,7.6996e+18
61,3660,3.67909241957017e-08,2.89513596418872e-10,1.6635693293962e-10,3.31615545108897e-09,0.618173901726335,7.7624e+18
62,3720,3.74054778463853e-08,2.88600840048765e-10,1.62148634145141e-10,3.29238070513136e-09,0.597464973436219,7.8624e+18
63,3780,3.69486891853505e-08,2.94823297279611e-10,1.67389375421873e-10,3.30285775407942e-09,0.578553864291602,7.9096e+18
64,3840,3.71896110477044e-08,2.87834820886426e-10,1.73974954760127e-10,3.30376597974167e-09,0.561525035896664,7.7552e+18
65,3900,3.74438294623255e-08,2.80770801031743e-10,1.56756848944312e-10,3.30486143425943e-09,0.54645454313283,7.792e+18
66,3960,3.70835156958568e-08,2.93265544500971e-10,1.64793472951564e-10,3.31829142235953e-09,0.5334096944792,7.8236e+18
67,4020,3.73986197966111e-08,2.83696421012552e-10,1.71928316495933e-10,3.32044364164863e-09,0.522448751396545,7.7928e+18
68,4080,3.66813858158404e-08,2.87925368363143e-10,1.72871547283835e-10,3.31336441743091e-09,0.513620668117482,7.766e+18
69,4140,3.69434006537135e-08,2.75194416308976e-10,1.7234518401953e-10,3.33462404973236e-09,0.506964873004986,7.8052e+18
70,4200,3.73064830061e-08,3.02314514998456e-10,1.83089712160697e-10,3.29184542231501e-09,0.502511092455748,7.804e+18
71,4260,3.71495039942941e-08,2.9768599129931e-10,1.72083311464136e-10,3.32152342984465e-09,0.500279218134873,7.7648e+18
72,4320,3.75272153494579e-08,2.90449753314634e-10,1.64566689042978e-10,3.31508635146814e-09,0.500279218134873,7.8632e+18
73,4380,3.72012564884374e-08,2.86956943532495e-10,1.88227062678541e-10,3.33294512424708e-09,0.502511092455748,7.6952e+18
74,4440,3.70939647513649e-08,3.09197277593149e-10,1.78253932670612e-10,3.29518539499452e-09,0.506964873004985,7.9036e+18
75,4500,3.71359374901753e-08,2.91691459063173e-10,1.71874744585978e-10,3.3067294386449e-09,0.513620668117481,7.6876e+18
76,4560,3.71996557433283e-08,2.90140437885063e-10,1.61720657864651e-10,3.2533775777245e-09,0.522448751396544,7.8512e+18
77,4620,3.68777152529284e-08,2.90387371291529e-10,1.71220982304032e-10,3.2883093849143e-09,0.533409694479199,7.8496e+18
78,4680,3.66793305171933e-08,2.88208851518966e-10,1.6937549583196e-10,3.31115527434454e-09,0.546454543132828,7.7156e+18
79,4740,3.71262956392885e-08,2.91905101636693e-10,1.69042705004999e-10,3.28649814787391e-09,0.561525035896662,7.7672e+18
80,4800,3.71147021835919e-08,2.99070175859593e-10,1.68743258610872e-10,3.31027804549346e-09,0.578553864291599,7.778e+18
81,4860,3.71206625741901e-08,2.79695381428559e-10,1.6733777407625e-10,3.30897068666228e-09,0.597464973436216,7.76e+18
82,4920,3.70694659457092e-08,2.99713722218732e-10,1.59615527960909e-10,3.28482102374054e-09,0.618173901726332,7.8176e+18
83,4980,3.66708777556274e-08,2.882083357399e-10,1.596909191907e-10,3.30077504763773e-09,0.640588158061033,7.834e+18
84,5040,3.7118072695014e-08,2.78603682454401e-10,1.70010056121393e-10,3.26478006254636e-09,0.664607634930386,7.7804e+18
85,5100,3.71436377704162e-08,2.77290939386581e-10,1.61804197864466e-10,3.32970004126541e-09,0.690125055519876,7.852e+18
86,5160,3.69373379077366e-08,3.01840908304022e-10,1.60853190385896e-10,3.27240662650995e-09,0.717026452834701,7.788e+18
87,5220,3.67670628226375e-08,2.86502452343357e-10,1.62340932291716e-10,3.30494505747731e-09,0.74519167870404,7.8044e+18
88,5280,3.74737723796766e-08,2.98386414297015e-10,1.72140120385058e-10,3.30382765227987e-09,0.774494940391948,7.7536e+18
89,5340,3.72677657504756e-08,3.01864443803523e-10,1.78815046741897e-10,3.2949558131185e-09,0.804805362418252,7.9384e+18
90,5400,3.70387627709731e-08,2.90002814805153e-10,1.66933375527132e-10,3.28230331281588e-09,0.83598757108021,7.7664e+18
91,5460,3.71938311058334e-08,2.93724113363613e-10,1.63131706115886e-10,3.31354052123214e-09,0.867902299064353,7.8144e+18
92,5520,3.7045338024433e-08,2.83716860392048e-10,1.70155301633544e-10,3.32043120637229e-09,0.900407007448078,7.6892e+18
93,5580,3.7190334917078e-08,2.84052900558302e-10,1.63472876726623e-10,3.30629878185957e-09,0.933356522313107,7.7744e+18
94,5640,3.71708379453563e-08,2.90668878810975e-10,1.64013923089719e-10,3.28253462198528e-09,0.966603683127436,7.6936e+18
95,5700,3.67780570988632e-08,2.90003500562658e-10,1.64764739150462e-10,3.33814333272978e-09,1,7.804e+18
96,5760,3.71041554315904e-08,2.80265053028248e-10,1.72083085721532e-10,3.33041814604908e-09,1.03339631687256,7.7632e+18
97,5820,3.70549688518153e-08,2.84800673726011e-10,1.66668863354392e-10,3.27887099098602e-09,1.06664347768689,7.7448e+18
98,5880,3.73752456480376e-08,2.9394884788868e-10,1.62359494256539e-10,3.28622655106589e-09,1.09959299255192,7.878e+18
99,5940,3.66604085131015e-08,2.97487688586949e-10,1.64803098231683e-10,3.29582032898943e-09,1.13209770093564,7.72e+18
100,6000,3.71046047150922e-08,2.87528325424335e-10,1.57189773564702e-10,3.27043664601867e-09,1.16401242891978,7.7508e+18
101,6060,3.74233669815387e-08,2.85570747212139e-10,1.66943040292542e-10,3.31206143239525e-09,1.19519463758175,7.7788e+18
102,6120,3.70790954553079e-08,2.78850090290109e-10,1.68388279785589e-10,3.31344344671677e-09,1.22550505960805,7.862e+18
103,6180,3.72255570232664e-08,2.84027700224708e-10,1.6809855222035e-10,3.31742302510747e-09,1.25480832129596,7.8608e+18
104,6240,3.7175900392817e-08,2.9340024742563e-10,1.71731416507566e-10,3.28525092225872e-09,1.2829735471653,7.7988e+18
105,6300,3.69074942579354e-08,2.82946877110245e-10,1.69296583858318e-10,3.30957900656703e-09,1.30987494448012,7.7028e+18
106,6360,3.6945391109073e-08,2.98572480320189e-10,1.70516113731031e-10,3.33200649816486e-09,1.33539236506961,7.8252e+18
107,6420,3.73068298497857e-08,2.92631800658514e-10,1.70931925686185e-10,3.28152916269061e-09,1.35941184193896,7.748e+18
108,6480,3.71509510739391e-08,2.7743378915544e-10,1.72217224868771e-10,3.33738750309475e-09,1.38182609827367,7.8044e+18
109,6540,3.67975746236988e-08,2.87402286886924e-10,1.62069707504684e-10,3.30203823886429e-09,1.40253502656378,7.8212e+18
110,6600,3.71390383538418e-08,2.87465709927686e-10,1.75135201442152e-10,3.29715808136482e-09,1.4214461357084,7.8292e+18
111,6660,3.71168757777291e-08,2.92014367509503e-10,1.72512282311206e-10,3.28169204423332e-09,1.43847496410334,7.7828e+18
112,6720,3.65592264979675e-08,2.83734351325388e-10,1.7410581644887e-10,3.32804209609728e-09,1.45354545686717,7.8132e+18
113,6780,3.73744768065783e-08,2.95894225789668e-10,1.71596980220412e-10,3.28808271497572e-09,1.4665903055208,7.8288e+18
114,6840,3.7217469863883e-08,2.99781351711659e-10,1.68457663172627e-10,3.29959243608058e-09,1.47755124860346,7.7544e+18
115,6900,3.74426870616546e-08,2.84985775118893e-10,1.67618923447548e-10,3.30269435898626e-09,1.48637933188252,7.7484e+18
116,6960,3.7250875599204e-08,2.90380857446163e-10,1.61091695815717e-10,3.32611420988727e-09,1.49303512699501,7.9544e+18
117,7020,3.72467807866537e-08,3.01495353636494e-10,1.66071168031158e-10,3.2913886755908e-09,1.49748890754425,7.7632e+18
118,7080,3.68251966794004e-08,2.98158362098012e-10,1.75234600079613e-10,3.29205483993857e-09,1.49972078186513,7.7956e+18
119,7140,3.70238144542283e-08,2.88027850686485e-10,1.65995089714587e-10,3.30552719524722e-09,1.49972078186513,7.8712e+18
120,7200,3.71998819466565e-08,3.02609704571872e-10,1.7507248246042e-10,3.28762954279145e-09,1.49748890754425,7.7888e+18
121,7260,3.71343604592665e-08,3.01711554428835e-10,1.75806919827314e-10,3.30852809742831e-09,1.49303512699501,7.7832e+18
122,7320,3.6936756094321e-08,2.8968040557617e-10,1.68496178246496e-10,3.31821519745849e-09,1.48637933188252,7.9192e+18
123,7380,3.71849158625041e-08,2.89217554333703e-10,1.68009831767828e-10,3.30735305754664e-09,1.47755124860346,7.7708e+18
124,7440,3.71228753033231e-08,2.89685607434642e-10,1.67459875658827e-10,3.28872367581919e-09,1.4665903055208,7.8272e+18
125,7500,3.68802870712922e-08,2.90678904445959e-10,1.70043922084385e-10,3.27945814556761e-09,1.45354545686717,7.82e+18
126,7560,3.71986216051663e-08,2.94282131794807e-10,1.59432872373679e-10,3.30609812056352e-09,1.43847496410334,7.7976e+18
127,7620,3.70146273055224e-08,2.82971704349326e-10,1.60097456748912e-10,3.33615693446751e-09,1.4214461357084,7.7828e+18
128,7680,3.65268155305911e-08,2.97498310357189e-10,1.7593973396829e-10,3.27561210849666e-09,1.40253502656378,7.78e+18
129,7740,3.74813186288501e-08,2.99295117342986e-10,1.81979929323851e-10,3.31432460245596e-09,1.38182609827367,7.8544e+18
130,7800,3.73905413063987e-08,3.00761414439296e-10,1.76532941890825e-10,3.29497630253262e-09,1.35941184193897,7.7424e+18
131,7860,3.7354085149819e-08,2.93077095613161e-10,1.69849145027352e-10,3.30281262151985e-09,1.33539236506961,7.7368e+18
132,7920,3.73077149447546e-08,2.90839019382373e-10,1.78179762568321e-10,3.28332990935896e-09,1.30987494448012,7.7576e+18
133,7980,3.70980339513871e-08,2.84970581058658e-10,1.7110069029912e-10,3.33891949849438e-09,1.2829735471653,7.8092e+18
134,8040,3.66900995805073e-08,2.92537952477997e-10,1.67484726154667e-10,3.27625963474845e-09,1.25480832129596,7.8644e+18
135,8100,3.71278460020517e-08,3.01806563719383e-10,1.66993267542815e-10,3.31268961097281e-09,1.22550505960805,7.804e+18
136,8160,3.72151452570912e-08,2.91612325504528e-10,1.70573184733997e-10,3.30287421893496e-09,1.19519463758175,7.7412e+18
137,8220,3.71851999165368e-08,2.84333627735385e-10,1.64731199911799e-10,3.30549813409808e-09,1.16401242891979,7.6808e+18
138,8280,3.70356142652846e-08,2.86143195941181e-10,1.6567892876509e-10,3.28342188281054e-09,1.13209770093565,7.7692e+18
139,8340,3.68354440507911e-08,2.86560307192285e-10,1.73176573642164e-10,3.27277338640602e-09,1.09959299255192,7.8276e+18
140,8400,3.73210847968768e-08,2.7577616585139e-10,1.73574964304459e-10,3.33092669732337e-09,1.06664347768689,7.8652e+18
141,8460,3.67633888762876e-08,2.83231949858533e-10,1.76504825204391e-10,3.29919636404204e-09,1.03339631687256,7.8848e+18
142,8520,3.70775203503071e-08,2.91975890064521e-10,1.73680831299521e-10,3.28625707068022e-09,1,7.7408e+18
143,8580,3.68381465302638e-08,2.8889617678189e-10,1.74522656884757e-10,3.30395793988028e-09,0.96660368312744,7.7244e+18
144,8640,3.69523059768012e-08,3.01155834372425e-10,1.71008866998575e-10,3.30089949410416e-09,0.933356522313112,7.7988e+18
145,8700,3.68186795303303e-08,2.83720454879567e-10,1.64702990535464e-10,3.30195765220957e-09,0.900407007448082,7.8128e+18
146,8760,3.70952555265732e-08,2.92109103599976e-10,1.70879533176358e-10,3.30533916092473e-09,0.867902299064357,7.8096e+18
147,8820,3.72777971074875e-08,2.93470664699309e-10,1.77645498633083e-10,3.27245153928655e-09,0.835987571080215,7.7664e+18
148,8880,3.69939097283429e-08,2.91731065968542e-10,1.72623665875242e-10,3.29257898954744e-09,0.804805362418252,7.6752e+18
149,8940,3.67074885759717e-08,2.79099028886475e-10,1.64076065707228e-10,3.29914213213795e-09,0.774494940391953,7.722e+18
150,9000,3.7140773222948e-08,2.87118263883793e-10,1.75833304196155e-10,3.29341286704671e-09,0.745191678704044,7.804e+18
151,9060,3.7048031715941e-08,3.01862960847666e-10,1.64733295702329e-10,3.29845457803264e-09,0.717026452834705,7.7348e+18
152,9120,3.72680236339252e-08,2.79217595149429e-10,1.70460885092908e-10,3.30679740493629e-09,0.69012505551988,7.7376e+18
153,9180,3.70046887282785e-08,2.92051433350225e-10,1.77652793727682e-10,3.31889438214227e-09,0.66460763493039,7.67e+18
